<TICKER>        <NAME>
PHR             PHARMENA
PJP             PROJPRZEM
PKN             PKNORLEN
PKO             PKOBP
PKP             PKPCARGO
PLW             PLAYWAY
PLX             PLASTBOX
PLZ             PLAZACNTR
PMA             PRIMAMODA
PMP             PAMAPOL
PPS             PEPEES
PRD             PROCAD
PRI             PRAGMAINK
PRM             PROCHEM
PRT             PROTEKTOR
PTG             POLTREG
PTH             PRIMETECH
PUE             ZPUE
PUN             PUNKPIRAT
PUR             PURE
PWX             POLWAX
PXM             POLIMEXMS
PZU             PZU
QNT             QUANTUM
QRS             QUERCUS
R22             R22
RAF             RAFAMET
RBW             RAINBOW
RDL             RADPOL
RDN             REDAN
REG             REGNON
RES             RESBUD
RFK             RAFAKO
RHD             REINHOLD
RLP             RELPOL
RMK             REMAK
RNC             REINO
RNK             RANKPROGR
RON             RONSON
RPC             ROPCZYCE
RVU             RYVU
RWL             RAWLPLUG
SAN             SANTANDER
SEK             SEKO
SEL             SELENAFM
SEN             SERINUS
SES             SESCOM
SFG             SILVANO
SFS             SFINKS
SGN             SYGNITY
SGR             SADOVAYA
SHD             SOHODEV
SHG             STARHEDGE
SHO             SHOPER
SKA             SNIEZKA
SKH             SKARBIEC
SKL             SKYLINE
SKT             SKOTAN
SLV             SELVITA
SLZ             SLEEPZAG
SME             SIMPLE
SNK             SANOK
SNT             SYNEKTIK
SNW             SANWIL
SNX             SUNEX
SOL             SOLAR
SON             SONEL
SPH             SOPHARMA
SPL             SANPL
STF             STALPROFI
STH             STSHOLDING
STP             STALPROD
STS             SATIS
STX             STALEXP
SUW             SUWARY
SVRS            SILVAIR-REGS
SWD             SWISSMED
SWG             SECOGROUP
TAR             TARCZYNSKI
TBL             TBULL
TEN             TSGAMES
TIM             TIM
TLX             TALEX
TMR             TATRY
TOA             TOYA
TOR             TORPOL
TOW             TOWERINVT
TPE             TAURONPE
TRI             TRITON
TRK             TRAKCJA
TRN             TRANSPOL
TRR             TERMOREX
TSG             TESGAS
TXM             TXM
U2K             UNIMA
UCG             UNICREDIT
ULG             ULTGAMES
ULM             ULMA
UNI             UNIBEP
UNT             UNIMOT
URS             URSUS
VGO             VIGOSYS
VIN             VINDEXUS
VOT             VOTUM
VOX             VOXEL
VRC             VERCOM
VRG             VRG
VTI             VENTUREIN
VTL             VISTAL
VVD             VIVID
WAS             WASKO
WIK             WIKANA
WIS             WINVEST
WLT             WIELTON
WOJ             WOJAS
WPL             WIRTUALNA
WTN             WITTCHEN
WWL             WAWEL
WXF             WARIMPEX
XTB             XTB
XTP             XTPL
YOL             YOLO
ZAP             PULAWY
ZEP             ZEPAK
ZMT             ZAMET
ZRE             ZREMB
ZUE             ZUE
ZUK             STAPORKOW
ZWC             ZYWIEC
