,<TICKER>,<NAME>
0,acp,ASSECOPOL
1,ale,ALLEGRO
2,ccc,CCC
3,cdr,CDPROJEKT
4,cps,CYFRPLSAT
5,dnp,DINOPL
6,jsw,JSW
7,kgh,KGHM
8,lpp,LPP
9,lts,LOTOS
10,mrc,MERCATOR
11,opl,ORANGEPL
12,peo,PEKAO
13,pge,PGE
14,pgn,PGNIG
15,pkn,PKNORLEN
16,pko,PKOBP
17,pzu,PZU
18,spl,SANPL
19,tpe,TAURONPE
